tau0,tau,dx,dt
2.1875,12.02,0.1,0.02
2.1875,13.02,0.1,0.02
2.1875,12.9,0.1,0.02
1.532421177870315,11.32,0.1,0.02
1.532421177870315,10.72,0.1,0.02
1.532421177870315,10.200000000000001,0.1,0.02
1.532421177870315,9.44,0.1,0.02
1.532421177870315,10.58,0.1,0.02
1.532421177870315,14.96,0.1,0.02
1.532421177870315,9.94,0.1,0.02
1.532421177870315,9.28,0.1,0.02
1.532421177870315,10.76,0.1,0.02
1.532421177870315,10.02,0.1,0.02
1.1648,9.06,0.1,0.02
1.1648,7.88,0.1,0.02
1.1648,7.68,0.1,0.02
1.1648,6.9,0.1,0.02
1.1648,7.44,0.1,0.02
1.1648,8.26,0.1,0.02
1.1648,6.7,0.1,0.02
1.1648,6.1000000000000005,0.1,0.02
1.1648,11.08,0.1,0.02
1.1648,8.22,0.1,0.02
0.9330652111462222,6.08,0.1,0.02
0.9330652111462222,5.9,0.1,0.02
0.9330652111462222,10.56,0.1,0.02
0.9330652111462222,6.0200000000000005,0.1,0.02
0.9330652111462222,7.3,0.1,0.02
0.9330652111462222,6.46,0.1,0.02
0.9330652111462222,5.76,0.1,0.02
0.9330652111462222,5.8,0.1,0.02
0.9330652111462222,6.16,0.1,0.02
0.9330652111462222,12.0,0.1,0.02
0.7750865051903115,4.32,0.1,0.02
0.7750865051903115,5.5200000000000005,0.1,0.02
0.7750865051903115,4.9,0.1,0.02
0.7750865051903115,5.0600000000000005,0.1,0.02
0.7750865051903115,6.04,0.1,0.02
0.7750865051903115,5.66,0.1,0.02
0.7750865051903115,4.88,0.1,0.02
0.7750865051903115,8.52,0.1,0.02
0.7750865051903115,6.140000000000001,0.1,0.02
0.7750865051903115,5.14,0.1,0.02
0.6611570247933884,4.42,0.1,0.02
0.6611570247933884,4.2,0.1,0.02
0.6611570247933884,4.66,0.1,0.02
0.6611570247933884,4.5,0.1,0.02
0.6611570247933884,5.28,0.1,0.02
0.6611570247933884,5.2,0.1,0.02
0.6611570247933884,5.38,0.1,0.02
0.6611570247933884,7.36,0.1,0.02
0.6611570247933884,6.4,0.1,0.02
0.6611570247933884,6.1000000000000005,0.1,0.02
0.5754461871281774,4.26,0.1,0.02
0.5754461871281774,5.14,0.1,0.02
0.5754461871281774,4.76,0.1,0.02
0.5754461871281774,3.72,0.1,0.02
0.5754461871281774,4.44,0.1,0.02
0.5754461871281774,3.92,0.1,0.02
0.5754461871281774,4.54,0.1,0.02
0.5754461871281774,4.0600000000000005,0.1,0.02
0.5754461871281774,5.46,0.1,0.02
0.5754461871281774,4.16,0.1,0.02
0.5088088642659279,2.96,0.1,0.02
0.5088088642659279,3.24,0.1,0.02
0.5088088642659279,3.16,0.1,0.02
0.5088088642659279,3.84,0.1,0.02
0.5088088642659279,3.62,0.1,0.02
0.5088088642659279,3.86,0.1,0.02
0.5088088642659279,3.64,0.1,0.02
0.5088088642659279,3.44,0.1,0.02
0.5088088642659279,4.08,0.1,0.02
0.5088088642659279,3.56,0.1,0.02
0.4556213017751479,3.22,0.1,0.02
0.4556213017751479,2.94,0.1,0.02
0.4556213017751479,3.04,0.1,0.02
0.4556213017751479,3.56,0.1,0.02
0.4556213017751479,3.66,0.1,0.02
0.4556213017751479,3.24,0.1,0.02
0.4556213017751479,3.62,0.1,0.02
0.4556213017751479,3.2600000000000002,0.1,0.02
0.4556213017751479,3.16,0.1,0.02
0.4556213017751479,3.54,0.1,0.02
0.41224841412796615,2.7800000000000002,0.1,0.02
0.41224841412796615,2.88,0.1,0.02
0.41224841412796615,2.92,0.1,0.02
0.41224841412796615,3.36,0.1,0.02
0.41224841412796615,3.14,0.1,0.02
0.41224841412796615,3.8000000000000003,0.1,0.02
0.41224841412796615,2.94,0.1,0.02
0.41224841412796615,3.38,0.1,0.02
0.41224841412796615,3.42,0.1,0.02
0.41224841412796615,2.4,0.1,0.02
0.37624294544477294,2.96,0.1,0.02
0.37624294544477294,2.68,0.1,0.02
0.37624294544477294,2.88,0.1,0.02
0.37624294544477294,4.22,0.1,0.02
0.37624294544477294,3.18,0.1,0.02
0.37624294544477294,3.24,0.1,0.02
0.37624294544477294,2.48,0.1,0.02
0.37624294544477294,2.94,0.1,0.02
0.37624294544477294,2.7800000000000002,0.1,0.02
0.37624294544477294,2.46,0.1,0.02
0.3459005885437911,2.8000000000000003,0.1,0.02
0.3459005885437911,2.9,0.1,0.02
0.3459005885437911,3.18,0.1,0.02
0.3459005885437911,2.56,0.1,0.02
0.3459005885437911,3.2,0.1,0.02
0.3459005885437911,2.62,0.1,0.02
0.3459005885437911,2.7,0.1,0.02
0.3459005885437911,3.22,0.1,0.02
0.3459005885437911,3.02,0.1,0.02
0.3459005885437911,2.62,0.1,0.02
0.32,2.94,0.1,0.02
0.32,2.54,0.1,0.02
0.32,2.54,0.1,0.02
0.32,2.64,0.1,0.02
0.32,2.48,0.1,0.02
0.32,2.34,0.1,0.02
0.32,2.06,0.1,0.02
0.32,2.44,0.1,0.02
0.32,2.7800000000000002,0.1,0.02
0.32,2.7,0.1,0.02
8.0,74.5,0.02,0.05
8.0,61.5,0.02,0.05
8.0,56.25,0.02,0.05
8.0,66.35000000000001,0.02,0.05
8.0,50.0,0.02,0.05
8.0,61.900000000000006,0.02,0.05
8.0,62.650000000000006,0.02,0.05
8.0,60.800000000000004,0.02,0.05
8.0,55.45,0.02,0.05
8.0,53.400000000000006,0.02,0.05
3.5992438563327034,26.450000000000003,0.02,0.05
3.5992438563327034,22.650000000000002,0.02,0.05
3.5992438563327034,26.05,0.02,0.05
3.5992438563327034,30.8,0.02,0.05
3.5992438563327034,23.55,0.02,0.05
3.5992438563327034,25.950000000000003,0.02,0.05
3.5992438563327034,24.1,0.02,0.05
3.5992438563327034,26.700000000000003,0.02,0.05
3.5992438563327034,30.05,0.02,0.05
3.5992438563327034,24.8,0.02,0.05
2.1875,16.55,0.02,0.05
2.1875,14.75,0.02,0.05
2.1875,15.9,0.02,0.05
2.1875,19.900000000000002,0.02,0.05
2.1875,16.35,0.02,0.05
2.1875,13.0,0.02,0.05
2.1875,14.0,0.02,0.05
2.1875,11.65,0.02,0.05
2.1875,14.4,0.02,0.05
2.1875,15.200000000000001,0.02,0.05
1.532421177870315,10.850000000000001,0.02,0.05
1.532421177870315,16.25,0.02,0.05
1.532421177870315,10.850000000000001,0.02,0.05
1.532421177870315,11.100000000000001,0.02,0.05
1.532421177870315,14.700000000000001,0.02,0.05
1.532421177870315,11.850000000000001,0.02,0.05
1.532421177870315,10.75,0.02,0.05
1.532421177870315,10.05,0.02,0.05
1.532421177870315,12.25,0.02,0.05
1.532421177870315,10.950000000000001,0.02,0.05
1.1648,8.15,0.02,0.05
1.1648,9.700000000000001,0.02,0.05
1.1648,9.1,0.02,0.05
1.1648,10.350000000000001,0.02,0.05
1.1648,9.9,0.02,0.05
1.1648,10.25,0.02,0.05
1.1648,11.200000000000001,0.02,0.05
1.1648,7.65,0.02,0.05
1.1648,9.950000000000001,0.02,0.05
1.1648,12.0,0.02,0.05
0.9330652111462222,6.9,0.02,0.05
0.9330652111462222,8.05,0.02,0.05
0.9330652111462222,7.75,0.02,0.05
0.9330652111462222,7.6000000000000005,0.02,0.05
0.9330652111462222,7.050000000000001,0.02,0.05
0.9330652111462222,8.55,0.02,0.05
0.9330652111462222,8.05,0.02,0.05
0.9330652111462222,6.6000000000000005,0.02,0.05
0.9330652111462222,7.3500000000000005,0.02,0.05
0.9330652111462222,7.15,0.02,0.05
0.7750865051903115,7.800000000000001,0.02,0.05
0.7750865051903115,6.95,0.02,0.05
0.7750865051903115,6.2,0.02,0.05
0.7750865051903115,6.050000000000001,0.02,0.05
0.7750865051903115,6.4,0.02,0.05
0.7750865051903115,8.1,0.02,0.05
0.7750865051903115,6.1000000000000005,0.02,0.05
0.7750865051903115,6.8500000000000005,0.02,0.05
0.7750865051903115,8.85,0.02,0.05
0.7750865051903115,6.2,0.02,0.05
0.6611570247933884,5.7,0.02,0.05
0.6611570247933884,5.4,0.02,0.05
0.6611570247933884,4.9,0.02,0.05
0.6611570247933884,5.5,0.02,0.05
0.6611570247933884,5.050000000000001,0.02,0.05
0.6611570247933884,5.7,0.02,0.05
0.6611570247933884,4.9,0.02,0.05
0.6611570247933884,5.1000000000000005,0.02,0.05
0.6611570247933884,6.4,0.02,0.05
0.6611570247933884,5.25,0.02,0.05
0.5754461871281774,4.5,0.02,0.05
0.5754461871281774,4.55,0.02,0.05
0.5754461871281774,4.2,0.02,0.05
0.5754461871281774,5.75,0.02,0.05
0.5754461871281774,5.300000000000001,0.02,0.05
0.5754461871281774,5.75,0.02,0.05
0.5754461871281774,6.550000000000001,0.02,0.05
0.5754461871281774,5.050000000000001,0.02,0.05
0.5754461871281774,5.15,0.02,0.05
0.5754461871281774,4.6000000000000005,0.02,0.05
0.5088088642659279,4.95,0.02,0.05
0.5088088642659279,7.8500000000000005,0.02,0.05
0.5088088642659279,4.65,0.02,0.05
0.5088088642659279,4.9,0.02,0.05
0.5088088642659279,5.25,0.02,0.05
0.5088088642659279,5.45,0.02,0.05
0.5088088642659279,5.4,0.02,0.05
0.5088088642659279,3.95,0.02,0.05
0.5088088642659279,5.1000000000000005,0.02,0.05
0.5088088642659279,4.15,0.02,0.05
0.4556213017751479,3.6,0.02,0.05
0.4556213017751479,3.8000000000000003,0.02,0.05
0.4556213017751479,5.1000000000000005,0.02,0.05
0.4556213017751479,3.9000000000000004,0.02,0.05
0.4556213017751479,5.050000000000001,0.02,0.05
0.4556213017751479,3.95,0.02,0.05
0.4556213017751479,3.85,0.02,0.05
0.4556213017751479,4.1000000000000005,0.02,0.05
0.4556213017751479,4.2,0.02,0.05
0.4556213017751479,3.8000000000000003,0.02,0.05
0.41224841412796615,3.5,0.02,0.05
0.41224841412796615,3.8000000000000003,0.02,0.05
0.41224841412796615,3.75,0.02,0.05
0.41224841412796615,3.2,0.02,0.05
0.41224841412796615,4.95,0.02,0.05
0.41224841412796615,3.9000000000000004,0.02,0.05
0.41224841412796615,3.95,0.02,0.05
0.41224841412796615,4.1000000000000005,0.02,0.05
0.41224841412796615,3.6,0.02,0.05
0.41224841412796615,4.0,0.02,0.05
0.37624294544477294,3.35,0.02,0.05
0.37624294544477294,3.1500000000000004,0.02,0.05
0.37624294544477294,3.35,0.02,0.05
0.37624294544477294,4.95,0.02,0.05
0.37624294544477294,3.3000000000000003,0.02,0.05
0.37624294544477294,3.0500000000000003,0.02,0.05
0.37624294544477294,3.75,0.02,0.05
0.37624294544477294,3.5500000000000003,0.02,0.05
0.37624294544477294,3.25,0.02,0.05
0.37624294544477294,3.85,0.02,0.05
0.3459005885437911,2.8000000000000003,0.02,0.05
0.3459005885437911,2.6500000000000004,0.02,0.05
0.3459005885437911,3.0500000000000003,0.02,0.05
0.3459005885437911,3.5,0.02,0.05
0.3459005885437911,3.6,0.02,0.05
0.3459005885437911,2.5500000000000003,0.02,0.05
0.3459005885437911,3.5,0.02,0.05
0.3459005885437911,2.75,0.02,0.05
0.3459005885437911,5.2,0.02,0.05
0.3459005885437911,3.3000000000000003,0.02,0.05
0.32,2.5,0.02,0.05
0.32,3.0,0.02,0.05
0.32,3.2,0.02,0.05
0.32,2.4000000000000004,0.02,0.05
0.32,2.4000000000000004,0.02,0.05
0.32,3.1,0.02,0.05
0.32,2.5500000000000003,0.02,0.05
0.32,2.95,0.02,0.05
0.32,2.45,0.02,0.05
0.32,2.7,0.02,0.05
8.0,54.25,0.05,0.05
8.0,54.400000000000006,0.05,0.05
8.0,57.45,0.05,0.05
8.0,54.150000000000006,0.05,0.05
8.0,64.9,0.05,0.05
8.0,51.85,0.05,0.05
8.0,67.3,0.05,0.05
8.0,58.400000000000006,0.05,0.05
8.0,64.10000000000001,0.05,0.05
8.0,69.2,0.05,0.05
3.5992438563327034,22.6,0.05,0.05
3.5992438563327034,23.0,0.05,0.05
3.5992438563327034,23.55,0.05,0.05
3.5992438563327034,27.900000000000002,0.05,0.05
3.5992438563327034,23.35,0.05,0.05
3.5992438563327034,23.150000000000002,0.05,0.05
3.5992438563327034,22.450000000000003,0.05,0.05
3.5992438563327034,20.75,0.05,0.05
3.5992438563327034,22.700000000000003,0.05,0.05
3.5992438563327034,21.200000000000003,0.05,0.05
2.1875,16.1,0.05,0.05
2.1875,17.150000000000002,0.05,0.05
2.1875,15.75,0.05,0.05
2.1875,23.0,0.05,0.05
2.1875,14.9,0.05,0.05
2.1875,15.5,0.05,0.05
2.1875,15.25,0.05,0.05
2.1875,13.3,0.05,0.05
2.1875,17.45,0.05,0.05
2.1875,13.15,0.05,0.05
1.532421177870315,11.75,0.05,0.05
1.532421177870315,11.8,0.05,0.05
1.532421177870315,9.75,0.05,0.05
1.532421177870315,8.75,0.05,0.05
1.532421177870315,10.65,0.05,0.05
1.532421177870315,12.55,0.05,0.05
1.532421177870315,10.600000000000001,0.05,0.05
1.532421177870315,10.65,0.05,0.05
1.532421177870315,12.75,0.05,0.05
1.532421177870315,9.450000000000001,0.05,0.05
1.1648,10.950000000000001,0.05,0.05
1.1648,8.6,0.05,0.05
1.1648,8.0,0.05,0.05
1.1648,9.200000000000001,0.05,0.05
1.1648,8.05,0.05,0.05
1.1648,7.75,0.05,0.05
1.1648,7.9,0.05,0.05
1.1648,7.6000000000000005,0.05,0.05
1.1648,8.8,0.05,0.05
1.1648,10.05,0.05,0.05
0.9330652111462222,7.45,0.05,0.05
0.9330652111462222,6.9,0.05,0.05
0.9330652111462222,6.5,0.05,0.05
0.9330652111462222,6.4,0.05,0.05
0.9330652111462222,7.800000000000001,0.05,0.05
0.9330652111462222,5.8500000000000005,0.05,0.05
0.9330652111462222,7.5,0.05,0.05
0.9330652111462222,6.300000000000001,0.05,0.05
0.9330652111462222,7.800000000000001,0.05,0.05
0.9330652111462222,6.8500000000000005,0.05,0.05
0.7750865051903115,8.6,0.05,0.05
0.7750865051903115,6.45,0.05,0.05
0.7750865051903115,6.3500000000000005,0.05,0.05
0.7750865051903115,8.450000000000001,0.05,0.05
0.7750865051903115,5.550000000000001,0.05,0.05
0.7750865051903115,5.3500000000000005,0.05,0.05
0.7750865051903115,6.4,0.05,0.05
0.7750865051903115,5.550000000000001,0.05,0.05
0.7750865051903115,5.7,0.05,0.05
0.7750865051903115,5.050000000000001,0.05,0.05
0.6611570247933884,5.25,0.05,0.05
0.6611570247933884,6.2,0.05,0.05
0.6611570247933884,7.45,0.05,0.05
0.6611570247933884,5.4,0.05,0.05
0.6611570247933884,5.050000000000001,0.05,0.05
