,tvals,phi_max,phi_min,phi_avg,energy_vals
251,6.275,0.609429832449139,0.3842468253292249,0.5000439317767165,321.6827940853721
252,6.300000000000001,0.6120178332694209,0.3814721785866474,0.5000442745000427,321.63108576296037
253,6.325,0.6146634418766291,0.37863561824578384,0.5000446267077466,321.57687856324634
254,6.3500000000000005,0.617367654339601,0.3757361014658256,0.5000449886911695,321.520055056352
255,6.375,0.6201314615380599,0.3727725945502485,0.500045360752585,321.4604926523994
256,6.4,0.62295584702366,0.36974407555899935,0.5000457432057128,321.39806341220026
257,6.425000000000001,0.6258417847045077,0.3666495371327242,0.5000461363762629,321.33263385493217
258,6.45,0.6287902363428178,0.36348798954132944,0.5000465406025038,321.2640647633849
259,6.4750000000000005,0.6318021488550459,0.3602584639695092,0.500046956235865,321.1922109870621
260,6.5,0.6348784514035487,0.35696001605217914,0.5000473836415679,321.11692124408717
261,6.525,0.6380200522685808,0.3535917296730084,0.5000478231992898,321.03803792219327
262,6.550000000000001,0.6412278354892289,0.3501527210394259,0.5000482753038615,320.9553968797561
263,6.575,0.6445026572617475,0.3466392248822856,0.5000487403660012,320.868827248001
264,6.6000000000000005,0.6478453420836793,0.3430519470186638,0.5000492188130818,320.77815123461824
265,6.625,0.6512566786321554,0.33939137514588075,0.5000497110899395,320.68318393094137
266,6.65,0.654737415364873,0.33565679982306856,0.5000502176597171,320.58373312280787
267,6.675000000000001,0.6582882558324601,0.3318475692214072,0.5000507390047506,320.4795991073955
